Partlist

Exported from jogwheel.sch at 25.1.2012 21:33:04

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                                       Device                                      Package                         Library                      Sheet

5.T3     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T4     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T5     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T6     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T7     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T8     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T9     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T10    CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
5.T11    CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
6.T0     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
6.T2     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
6.T4     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
6.T5     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
6.T6     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
6.T7     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
6.T8     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
7.T0     CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 CONNECTOR_2PIN2W-TERMINAL-HEADER-20.155MV/2 2WAY-TERMINAL-HEADER-20.155MV/2 connectors                   1
IC1      FT232RL                                     FT232RL                                     SSOP28                          jogwheel_parts               1
IC2      OPTO_4_CHANNELS                             OPTO_4_CHANNELS                             ACPL-845-O300                   jogwheel_parts               1
IC3      OPTO_4_CHANNELS                             OPTO_4_CHANNELS                             ACPL-845-O300                   jogwheel_parts               1
IC4      OPTO_4_CHANNELS                             OPTO_4_CHANNELS                             ACPL-845-O300                   jogwheel_parts               1
IC5      OPTO_4_CHANNELS                             OPTO_4_CHANNELS                             ACPL-845-O300                   jogwheel_parts               1
